Name,Code,X,Y,H,EchoHeight,precisionX,precisionY,precisionH,RMS,PDOP,(Number of Satellite)GNSS,Satellites used\Satellites Tracked,Elevation mask,TIME,84Lat,84Lon,84Height,2BaseX,2BaseY,2BaseH,2Base,Antenna Height,Survery Time,Method,Ambiguity Solution Type,Number Of Epoch
ykn5,,4184008.238199,520970.579053,976.867292,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.019331,5.788002,8,?\?,?,2020Y07M10D09H29M30S---2020Y07M10D09H29M39S,?,?,?,-3.546487,-1.124104,4.199260,5.610255,2.000000,10,,rtk fix,10
ykn5k,,4184008.254432,520970.574162,976.885399,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.021177,5.760856,8,?\?,?,2020Y07M10D09H29M47S---2020Y07M10D09H30M01S,?,?,?,-3.530254,-1.128995,4.217367,5.614580,2.000000,10,,rtk fix,10
ykn6,,4184008.046244,521073.715357,1000.554529,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.017904,5.210685,8,?\?,?,2020Y07M10D09H35M26S---2020Y07M10D09H35M35S,?,?,?,-0.237174,-1.335674,-2.313569,2.681954,2.000000,10,,rtk fix,10
ykn6k,,4184008.073759,521073.712445,1000.544976,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.017790,5.185441,8,?\?,?,2020Y07M10D09H35M40S---2020Y07M10D09H35M49S,?,?,?,-0.209659,-1.338586,-2.323122,2.689361,2.000000,10,,rtk fix,10
ykn7,,4183956.571378,521048.687097,948.294602,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.017290,3.314213,8,?\?,?,2020Y07M10D09H56M20S---2020Y07M10D09H56M29S,?,?,?,-1.201254,-1.247961,-3.047428,3.505315,2.000000,10,,rtk fix,10
ykn7k,,4183956.584470,521048.639868,948.322707,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.015094,3.297724,8,?\?,?,2020Y07M10D09H56M35S---2020Y07M10D09H56M44S,?,?,?,-1.188162,-1.295190,-3.019323,3.493645,2.000000,10,,rtk fix,10
ykn8,,4183969.835721,520848.163197,938.594945,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.012773,1.753063,11,?\?,?,2020Y07M10D10H03M23S---2020Y07M10D10H03M32S,?,?,?,-1.040241,-0.961374,-1.346075,1.954037,2.000000,10,,rtk fix,10
ykn8k,,4183969.832529,520848.100427,938.629247,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.012805,1.752144,11,?\?,?,2020Y07M10D10H03M40S---2020Y07M10D10H03M49S,?,?,?,-1.043433,-1.024144,-1.311773,1.964274,2.000000,10,,rtk fix,10
p3,,4183966.669206,520799.339515,929.556409,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.012491,1.653305,11,?\?,?,2020Y07M10D10H05M50S---2020Y07M10D10H05M59S,?,?,?,-4.206756,-49.785056,-10.384611,51.030273,2.000000,10,,rtk fix,10
p3k,,4183966.659185,520799.322075,929.548055,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011874,1.653129,11,?\?,?,2020Y07M10D10H06M05S---2020Y07M10D10H06M14S,?,?,?,-4.216777,-49.802496,-10.392965,51.049815,2.000000,10,,rtk fix,10
ykn9,,4183931.289959,520666.917181,909.092098,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011917,1.726982,11,?\?,?,2020Y07M10D10H11M48S---2020Y07M10D10H11M57S,?,?,?,-1.016387,-0.788414,-1.409949,1.908558,2.000000,10,,rtk fix,10
ykn9k,,4183931.326647,520666.928090,909.089675,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011852,1.727922,11,?\?,?,2020Y07M10D10H12M02S---2020Y07M10D10H12M11S,?,?,?,-0.979699,-0.777505,-1.412372,1.886562,2.000000,10,,rtk fix,10
ykn10,,4183838.608342,520586.457072,875.027198,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011221,1.777793,11,?\?,?,2020Y07M10D10H22M13S---2020Y07M10D10H22M22S,?,?,?,-0.880530,-1.266430,-0.509806,1.624525,2.000000,10,,rtk fix,10
ykn10k,,4183838.608033,520586.470644,875.034056,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.011141,1.779209,11,?\?,?,2020Y07M10D10H22M27S---2020Y07M10D10H22M36S,?,?,?,-0.880839,-1.252858,-0.502948,1.611983,2.000000,10,,rtk fix,10
ykn1,,4183723.111940,520498.463819,851.624906,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.013125,1.808946,11,?\?,?,2020Y07M10D10H27M31S---2020Y07M10D10H27M40S,?,?,?,-116.376932,-89.259683,-23.912098,148.602388,2.000000,10,,rtk fix,10
ykn1k,,4183723.131669,520498.440032,851.613523,,0.000000,nan,1826159922405151048601508480072404742673825966876545808449903573488399629498289858867195870231271436127734471973495031514610234653323592189729357552827630998677321582782242725710762698355864786693053580742025979482577466813973134113697348271646707109971579708863750235750400.000000,0.012397,1.810441,11,?\?,?,2020Y07M10D10H27M46S---2020Y07M10D10H27M55S,?,?,?,-116.357203,-89.283470,-23.923481,148.603061,2.000000,10,,rtk fix,10
